Temperature (K)	Resistance (ohm)	Applied Current (A)	Measured Voltage (V)
292.551000	1582.301020	3.013620E-6	0.004768
292.560500	1580.876066	17.320390E-6	0.027381
292.562000	1478.495016	100.011700E-6	0.147867
292.555000	1583.578564	3.012465E-6	0.004770
Temperature (K)	Resistance (ohm)	Applied Current (A)	Measured Voltage (V)
292.595000	1581.583213	3.012317E-6	0.004764
292.606000	1580.626816	17.319920E-6	0.027376
292.607000	1477.910518	100.011400E-6	0.147808
292.604500	1581.003659	3.011759E-6	0.004762
292.607000	1580.120992	17.320180E-6	0.027368
292.606500	1477.565170	100.011900E-6	0.147774
292.620000	1581.713376	3.011808E-6	0.004764
292.619500	1579.963418	17.319920E-6	0.027365
292.624000	1477.123654	100.011600E-6	0.147730
292.625500	1581.246336	3.012062E-6	0.004763
Temperature (K)	Resistance (ohm)	Applied Current (A)	Measured Voltage (V)
292.644500	1580.313122	3.012565E-6	0.004761
292.641000	1579.215866	17.320520E-6	0.027353
292.650500	1476.646186	100.011500E-6	0.147682
292.655000	1579.830611	3.012466E-6	0.004759
292.655500	1578.880820	17.320180E-6	0.027346
292.660500	1476.263943	100.012400E-6	0.147645
292.663500	1580.034874	3.012012E-6	0.004759
